ID,Region of residence,Age of Subject,Time spent on Online Class,Rating of Online Class experience,Medium for online class,Time spent on self study,Time spent on fitness,Time spent on sleep,Time spent on social media,Time spent on TV,Number of meals per day,Change in your weight,Health issue during lockdown,Stress busters,Time utilized,"Do you find yourself more connected with your family, close friends , relatives  ?"
R690,Outside Delhi-NCR,20,0,Very poor,Laptop/Desktop,2,2,9,2,0.5,3,Decreased,NO,Listening to music,YES,YES
R691,Delhi-NCR,20,4,Very poor,Smartphone,2,1,6,2,1,3,Increased,NO,I cant de-stress myslef,YES,YES
R692,Delhi-NCR,21,4,Good,Smartphone,2,1,7,3,0,3,Remain Constant,NO,Listening to music,YES,YES
R693,Delhi-NCR,23,3,Very poor,Laptop/Desktop,6,1,7,1.5,0.5,3,Increased,YES,working out and some physical activity,YES,YES
R694,Delhi-NCR,22,0,Very poor,Laptop/Desktop,1,0,14,2,2,3,Increased,NO,Sleeping,NO,NO
R695,Outside Delhi-NCR,20,4,Very poor,Laptop/Desktop,1,2,12,2,2,3,Remain Constant,NO,Listening to music,YES,YES
R696,Delhi-NCR,20,6,Very poor,Laptop/Desktop,6,1,8,0,1,3,Decreased,NO,Online surfing,NO,YES
R697,Delhi-NCR,21,3,Average,Laptop/Desktop,3,0,9,2,0,8,Increased,NO,Watching web series,YES,YES
R698,Delhi-NCR,19,1,Average,Laptop/Desktop,3,0,10,4,0,3,Decreased,NO,Online surfing,NO,NO
R699,Delhi-NCR,22,0,Average,Laptop/Desktop,6,1,6,1,2,3,Remain Constant,NO,Online gaming,YES,YES
R700,Outside Delhi-NCR,20,3,Poor,Laptop/Desktop,5,1,7,1,0,3,Increased,YES,Watching web series,NO,NO
R701,Outside Delhi-NCR,19,1,Average,Laptop/Desktop,2,1,7,3,0,3,Remain Constant,NO,Reading books,NO,YES
R702,Delhi-NCR,22,2,Good,Laptop/Desktop,10,1,6,1,0,6,Increased,NO,Listening to music,YES,YES
R703,Delhi-NCR,19,2,Very poor,Laptop/Desktop,1,2,5,4,1,2,Decreased,NO,Listening to music,YES,YES
R704,Delhi-NCR,18,3,Average,Smartphone,1,1,9,4,0.5,4,Remain Constant,NO,Listening to music,YES,YES
R705,Delhi-NCR,20,2,Average,Laptop/Desktop,2,1,9,1,1,3,Remain Constant,NO,Listening to music,YES,NO
R706,Delhi-NCR,19,2,Very poor,Laptop/Desktop,2,0,12,2,0,2,Decreased,NO,Listening to music,YES,YES
R707,Delhi-NCR,23,2,Average,Smartphone,5,1,12,1,0,3,Remain Constant,YES,Listening to music,YES,NO
R708,Delhi-NCR,19,0,Average,Smartphone,1,0,8,4,3,3,Increased,NO,Online gaming,NO,YES
R710,Outside Delhi-NCR,19,2,Good,Laptop/Desktop,3,1,8,2,1,3,Remain Constant,YES,Reading,YES,YES
R711,Delhi-NCR,17,7,Very poor,Laptop/Desktop,3,2,6,2,0,4,Remain Constant,NO,Sleeping,YES,NO
R712,Delhi-NCR,18,7,Average,Laptop/Desktop,2,1,8,3,1,3,Decreased,NO,Watching web series,YES,YES
R713,Delhi-NCR,22,2,Good,Any Gadget,1.5,1,7,1,2,3,Increased,NO,Web Series,NO,NO
R714,Delhi-NCR,21,4,Average,Laptop/Desktop,4,0,7,2,1,3,Increased,NO,Watching web series,YES,YES
R715,Delhi-NCR,17,3,Average,Laptop/Desktop,2,0,6,2,0,3,Increased,NO,Online gaming,NO,YES
R716,Delhi-NCR,19,0,Good,Tablet,0.5,1,6,2,1,4,Increased,NO,Web Series,NO,YES
R717,Delhi-NCR,20,5,Very poor,Smartphone,2,2,6,3,2,2,Decreased,NO,Reading books,NO,NO
R718,Delhi-NCR,17,4,Very poor,Smartphone,1,0,6,2,0,3,Increased,NO,Listening to music,NO,NO
R719,Delhi-NCR,21,3,Very poor,Laptop/Desktop,3,1,8,3,2,2,Increased,NO,Listening to music,NO,NO
R720,Delhi-NCR,19,2,Average,Smartphone,2,0,9,5,1,2,Remain Constant,NO,Sleeping,NO,NO
R721,Delhi-NCR,20,1.5,Very poor,Smartphone,2.5,2,9,1,1.5,2,Decreased,YES,Listening to music,NO,YES
R722,Delhi-NCR,21,3,Very poor,Laptop/Desktop,3,0,9,4,0.75,4,Increased,NO,Sleeping,NO,NO
R723,Outside Delhi-NCR,19,2,Average,Laptop/Desktop,4,1,6,3,1,4,Increased,NO,Scrolling through social media,NO,YES
R724,Delhi-NCR,38,4,Excellent,Laptop/Desktop,5,1,6,1,2,3,Increased,NO,Online gaming,YES,YES
R725,Delhi-NCR,19,3,Average,Smartphone,7,1,6,1,1,4,Increased,NO,Talking to your relatives,YES,YES
R726,Delhi-NCR,17,2,Average,Laptop/Desktop,0,0,11,1.5,2,4,Remain Constant,NO,Talking to your relatives,NO,YES
R727,Outside Delhi-NCR,18,3,Good,Laptop/Desktop,3,0,10,2,0,2,Increased,NO,Listening to music,NO,YES
R728,Delhi-NCR,20,5,Very poor,Laptop/Desktop,2,3,10,1,0.5,2,Decreased,YES,Writing my own Comics & novels,YES,YES
R729,Delhi-NCR,20,2,Very poor,Smartphone,6,1,5,4,0.5,1,Increased,YES,Listening to music,YES,YES
R730,Delhi-NCR,23,0,Average,Laptop/Desktop,1,1,9,3,0,3,Increased,NO,Listening to music,YES,YES
R731,Outside Delhi-NCR,29,2,Average,Laptop/Desktop,2,1,8,0,0,2,Remain Constant,NO,Reading books,NO,YES
R732,Delhi-NCR,20,0,Very poor,Laptop/Desktop,6,0,9,1,1,3,Increased,NO,Sleeping,NO,NO
R733,Outside Delhi-NCR,22,1,Very poor,Smartphone,4,0.25,10,1,0,3,Remain Constant,NO,Sleeping,NO,YES
R734,Delhi-NCR,18,2,Average,Laptop/Desktop,3,1,8,2,3,3,Increased,NO,Online surfing,YES,YES
R735,Delhi-NCR,15,4,Good,Smartphone,4,1,4,3,2,3,Remain Constant,NO,Sleeping,YES,YES
R736,Delhi-NCR,19,4,Average,Smartphone,5,1,8,2,1,3,Remain Constant,NO,Meditation,YES,YES
R737,Delhi-NCR,20,2,Very poor,Smartphone,2,0,9,10,1,2,Decreased,NO,Online gaming,YES,YES
R738,Outside Delhi-NCR,21,1,Very poor,Smartphone,4,1,9,1,1,3,Remain Constant,NO,Watching web series,YES,NO
R739,Outside Delhi-NCR,21,4,Average,Laptop/Desktop,3,0,8,2,1,3,Decreased,NO,Online gaming,YES,YES
R740,Delhi-NCR,20,4,Very poor,Smartphone,1,1,10,2,1,3,Increased,YES,Dancing,NO,YES
R741,Delhi-NCR,20,2,Average,Smartphone,1,2,8,4,2,4,Decreased,NO,Reading books,NO,YES
R742,Outside Delhi-NCR,19,0,Very poor,Smartphone,2,1,7,4,0,2,Remain Constant,NO,Meditation,NO,YES
R743,Outside Delhi-NCR,28,3,Good,Laptop/Desktop,1,0,10,1,0,2,Increased,NO,Online gaming,NO,YES
R744,Delhi-NCR,19,6,Good,Laptop/Desktop,6,0,8,2,0.5,2,Increased,NO,Listening to music,YES,NO
R745,Delhi-NCR,21,2,Average,Smartphone,2,1,8,1,0,3,Remain Constant,NO,Sleeping,NO,NO
R746,Delhi-NCR,23,0,Good,Laptop/Desktop,3,0,10,4,1,3,Increased,NO,Online gaming,NO,YES
R747,Delhi-NCR,20,3,Good,Laptop/Desktop,2,1,7,5,2,3,Remain Constant,NO,Reading,NO,YES
R748,Delhi-NCR,22,4,Good,Laptop/Desktop,2,1,12,2,2,3,Remain Constant,NO,Talking,NO,YES
R749,Delhi-NCR,20,2,Average,Smartphone,4,1,8,2,0,3,Increased,NO,Listening to music,YES,YES
R751,Outside Delhi-NCR,20,5,Good,Laptop/Desktop,4,1,7,3,1,3,Increased,NO,Reading,YES,YES
R752,Outside Delhi-NCR,23,3,Good,Laptop/Desktop,2,1,6,1,0,2,Remain Constant,NO,Reading,YES,YES
R753,Outside Delhi-NCR,21,2,Very poor,Smartphone,2,1,8,4,1,4,Increased,NO,Scrolling through social media,NO,YES
R754,Delhi-NCR,19,3,Very poor,Smartphone,2,1,9,5,1,3,Remain Constant,NO,Listening to music,NO,NO
R755,Outside Delhi-NCR,23,3,Good,Laptop/Desktop,5,0,6,1,0,2,Remain Constant,NO,Web Series,NO,YES
R756,Outside Delhi-NCR,20,4,Average,Smartphone,2,0,8,2,4,3,Remain Constant,NO,Sleeping,YES,YES
R757,Outside Delhi-NCR,22,2,Good,Laptop/Desktop,2,1,8,2,0,4,Increased,NO,Web Series,YES,YES
R758,Delhi-NCR,19,2,Poor,Smartphone,2,2,8,3,0,4,Decreased,YES,Gym,YES,NO
R759,Outside Delhi-NCR,21,5,Very poor,Smartphone,4,1,7,1,0,3,Remain Constant,NO,Meditation,YES,YES
R760,Outside Delhi-NCR,20,0,Very poor,Smartphone,5,0,8,1,0,3,Decreased,YES,I have no problem of stress ,NO,YES
R761,Outside Delhi-NCR,21,1,Very poor,Laptop/Desktop,5,1,11,2,0,3,Increased,NO,workout,NO,YES
R762,Delhi-NCR,22,5,Good,Laptop/Desktop,3,0,7,2,0,3,Remain Constant,NO,Sleeping,YES,YES
R763,Delhi-NCR,18,4,Good,Smartphone,2,0.5,6,2,0,4,Remain Constant,NO,Online gaming,YES,NO
R764,Delhi-NCR,21,1,Good,Laptop/Desktop,1,2,7,2,0,3,Remain Constant,NO,Listening to music,YES,YES
R765,Outside Delhi-NCR,22,2,Average,Laptop/Desktop,5,0.3,8,1,1,3,Increased,YES,Listening to music,NO,NO
R766,Outside Delhi-NCR,20,4,Average,Laptop/Desktop,3,1,9,3,1,2,Increased,NO,Meditation,NO,YES
R767,Delhi-NCR,19,6,Very poor,Smartphone,4,2,6,2,0,4,Decreased,YES,Online gaming,YES,YES
R768,Delhi-NCR,21,0.5,Very poor,Smartphone,2,1,9,1,0,3,Increased,NO,Reading books,NO,YES
R769,Delhi-NCR,21,1,Very poor,Laptop/Desktop,0,0,9,3,0,3,Remain Constant,NO,Watching web series,NO,NO
R770,Delhi-NCR,19,4,Very poor,Smartphone,2,1,9,7,3,3,Increased,NO,Sleeping,NO,YES
R771,Outside Delhi-NCR,21,2,Very poor,Smartphone,2,0,8,1,0,3,Increased,YES,Reading books,NO,YES
R772,Outside Delhi-NCR,23,5.5,Excellent,Laptop/Desktop,3,1,8,1,0,2,Decreased,NO,Watching web series,YES,YES
R773,Delhi-NCR,21,0,Very poor,Smartphone,0,0,9,4,0,4,Increased,NO,Watching web series,NO,NO
R774,Delhi-NCR,40,6,Average,Laptop/Desktop,3,0,7,2,2,3,Remain Constant,NO,No able to reduce the stress ,NO,YES
R775,Delhi-NCR,20,4,Good,Laptop/Desktop,1,0,9,2,0,3,Increased,NO,Social Media,NO,YES
R776,Outside Delhi-NCR,40,5,Excellent,Laptop/Desktop,4,0.5,6,1,2,2,Remain Constant,NO,Talking to your relatives,YES,YES
R777,Delhi-NCR,19,3,Average,Smartphone,1,1,6,2,0,3,Decreased,NO,Watching web series,YES,YES
R778,Outside Delhi-NCR,18,2,Very poor,Laptop/Desktop,4,0,8,1.5,0,2,Remain Constant,NO,Watching web series,NO,NO
R779,Delhi-NCR,23,3,Average,Laptop/Desktop,2,1,6,3,2,4,Remain Constant,NO,Listening to music,YES,YES
R780,Outside Delhi-NCR,21,7,Average,Laptop/Desktop,8,0,6,1,1,4,Increased,NO,Listening to music,NO,YES
R781,Outside Delhi-NCR,12,5,Average,Smartphone,2,1,7,0,1,4,Remain Constant,NO,Cooking,YES,YES
R782,Outside Delhi-NCR,20,0.5,Very poor,Smartphone,1,1,8,0.5,2.5,3,Remain Constant,NO,"Sleeping, Online games",NO,YES
R784,Outside Delhi-NCR,30,4,Average,Laptop/Desktop,3,1,7.8,4,2,3,Increased,NO,Watching web series,NO,NO
R785,Outside Delhi-NCR,21,5,Average,Laptop/Desktop,1,1,8,2,2,4,Remain Constant,NO,Watching web series,YES,YES
R786,Delhi-NCR,20,1,Very poor,Laptop/Desktop,0,0,8,4,0,4,Increased,NO,Listening to music,NO,YES
R787,Delhi-NCR,22,3,Average,Laptop/Desktop,5,0,8,2,0,2,Remain Constant,YES,Listening to music,YES,YES
R788,Delhi-NCR,40,1,Excellent,Laptop/Desktop,2,1,6.7,1,1,2,Remain Constant,NO,Online surfing,YES,YES
R789,Outside Delhi-NCR,24,5,Excellent,Laptop/Desktop,3,3,8,2,2,3,Remain Constant,NO,By engaging in my work.,YES,YES
R790,Outside Delhi-NCR,18,4,Very poor,Smartphone,1,2,9,2,0.5,2,Decreased,NO,Listening to music,NO,YES
R791,Outside Delhi-NCR,22,1,Very poor,Smartphone,2,1,5,10,0,2,Decreased,NO,Watching web series,NO,NO
R792,Outside Delhi-NCR,20,7,Poor,Smartphone,2,0,8,3,0,2,Remain Constant,YES,Scrolling through social media,NO,YES
R793,Delhi-NCR,35,3,Good,Laptop/Desktop,3,1,7,1,1,3,Remain Constant,NO,Sleeping,NO,NO
R794,Delhi-NCR,40,2,Poor,Smartphone,3,0,5,1,1,4,Increased,NO,Watching web series,NO,YES
R795,Outside Delhi-NCR,18,0,Poor,Laptop/Desktop,2,2,7,4,1,3,Remain Constant,NO,Online gaming,YES,YES
R796,Outside Delhi-NCR,19,4,Very poor,Smartphone,0,0,7,1,0,2,Increased,NO,Listening to music,NO,NO
R797,Delhi-NCR,35,4,Average,Laptop/Desktop,4,2,10,2,1,3,Remain Constant,NO,Online gaming,YES,YES
R798,Delhi-NCR,16,5,Very poor,Laptop/Desktop,4,0.5,8,0.5,0,3,Increased,NO,Reading books,NO,NO
R799,Outside Delhi-NCR,30,1,Good,Smartphone,1,1,7,1,0,4,Remain Constant,NO,Dancing,NO,YES
R800,Delhi-NCR,23,5,Excellent,Laptop/Desktop,2,1,8,1,4,3,Remain Constant,YES,Meditation,YES,YES
R801,Outside Delhi-NCR,19,2,Average,Laptop/Desktop,5,0,9,2,0.5,3,Increased,YES,Talking to your relatives,NO,YES
R802,Outside Delhi-NCR,19,4,Very poor,Smartphone,2,1,8,2,1,3,Remain Constant,NO,Listening to music,NO,YES
R803,Outside Delhi-NCR,37,4,Good,Laptop/Desktop,5,1,7,4,0,2,Increased,NO,Talking,YES,YES
R804,Delhi-NCR,21,3,Very poor,Laptop/Desktop,2,0,7,1,0,2,Increased,NO,Scrolling through social media,NO,NO
R805,Outside Delhi-NCR,20,3,Very poor,Laptop/Desktop,4,0,9,2,1,4,Increased,NO,Scrolling through social media,YES,NO
R806,Delhi-NCR,24,0,Average,Smartphone,1,1,8,1,0,3,Remain Constant,NO,Work,YES,NO
R807,Delhi-NCR,40,0,Average,Laptop/Desktop,0,1,10,2,1,3,Increased,NO,Watching web series,NO,YES
R808,Outside Delhi-NCR,20,2,Very poor,Smartphone,1,0.5,8,2,5,3,Remain Constant,NO,Listening to music,NO,YES
R809,Outside Delhi-NCR,23,3,Poor,Smartphone,4,0,9,3,0,2,Increased,NO,Watching web series,NO,YES
R810,Delhi-NCR,26,3,Very poor,Laptop/Desktop,2,1,8,1,0,4,Increased,NO,Listening to music,YES,YES
R811,Outside Delhi-NCR,20,5,Good,Smartphone,3,0,7,2,2,4,Remain Constant,NO,Online gaming,NO,YES
R812,Outside Delhi-NCR,22,0,Very poor,Smartphone,4,1,8,0,0,4,Remain Constant,YES,"Painting,. Sewing",NO,NO
R813,Outside Delhi-NCR,14,5,Good,Laptop/Desktop,4,0,8,2,2,3,Increased,NO,Sleeping,NO,YES
R814,Outside Delhi-NCR,20,0,Very poor,Smartphone,1,0,10,4,1,3,Increased,NO,Online gaming,NO,YES
R815,Outside Delhi-NCR,22,0,Average,Smartphone,0,0,10,5,4,2,Remain Constant,NO,Drawing,NO,YES
R816,Outside Delhi-NCR,40,5,Average,Smartphone,2,1,8,4,6,3,Remain Constant,NO,Scrolling through social media,YES,YES
R817,Outside Delhi-NCR,23,1,Poor,Smartphone,2,1,8,2,2,2,Increased,YES,Meditation,NO,YES
R818,Outside Delhi-NCR,21,3,Very poor,Smartphone,2,2,7,3,3,2,Remain Constant,NO,Listening to music,YES,YES
R819,Outside Delhi-NCR,21,5,Average,Smartphone,5,0,5,2,1,2,Remain Constant,NO,Listening to music,YES,NO
R820,Delhi-NCR,34,2,Average,Smartphone,1,1,7,4,2,3,Increased,NO,Scrolling through social media,YES,YES
R821,Outside Delhi-NCR,40,1,Average,Smartphone,1,1,8,3,2,2,Decreased,NO,Forming ,NO,YES
R822,Outside Delhi-NCR,22,3,Good,Smartphone,2,1,8,2,1,2,Remain Constant,NO,Online gaming,YES,NO
R823,Outside Delhi-NCR,21,2,Very poor,Smartphone,0,2,8,4,2,2,Remain Constant,NO,Cooking,NO,NO
R824,Outside Delhi-NCR,18,2,Poor,Smartphone,1,1,8.5,2,3,3,Remain Constant,NO,Listening to music,NO,NO
R825,Outside Delhi-NCR,22,2,Average,Laptop/Desktop,7,1,9,2,0,2,Decreased,NO,Scrolling through social media,NO,NO
R826,Outside Delhi-NCR,21,0,Very poor,Smartphone,2,3,9,1,1,1,Decreased,YES,Online surfing,NO,NO
R827,Outside Delhi-NCR,22,3,Very poor,Laptop/Desktop,5,1,8,3,1,4,Remain Constant,NO,Scrolling through social media,YES,YES
R828,Outside Delhi-NCR,21,2,Good,Laptop/Desktop,2,2,7,0.5,0,4,Remain Constant,NO,Reading,YES,YES
R829,Outside Delhi-NCR,21,3,Very poor,Laptop/Desktop,12,0,6,1,0,2,Decreased,YES,Scrolling through social media,NO,NO
R830,Delhi-NCR,21,2,Very poor,Smartphone,3,0,8,2,0,2,Increased,YES,Listening to music,NO,NO
R831,Outside Delhi-NCR,20,4,Very poor,Laptop/Desktop,4,0,11,3,0,3,Increased,NO,Watching web series,NO,NO
R833,Delhi-NCR,21,3,Very poor,Laptop/Desktop,5,0,7,1,0,4,Remain Constant,NO,Online gaming,YES,NO
R834,Outside Delhi-NCR,20,4,Average,Laptop/Desktop,5,0.5,8,1,2,3,Increased,NO,Meditation,YES,YES
R835,Outside Delhi-NCR,21,4,Average,Laptop/Desktop,4,0,6,4,0,3,Remain Constant,NO,Meditation,YES,YES
R836,Delhi-NCR,21,3,Very poor,Smartphone,8,1,8,1,0,3,Remain Constant,NO,Meditation,YES,NO
R837,Delhi-NCR,21,5,Average,Smartphone,6,0,5,2,0,3,Increased,YES,Online gaming,YES,YES
R838,Outside Delhi-NCR,40,6,Excellent,Laptop/Desktop,2,1,6,2,2,3,Decreased,NO,Listening to music,YES,NO
R839,Delhi-NCR,20,2,Very poor,Smartphone,3,2,8,1,1,3,Increased,NO,Listening to music,NO,NO
R840,Delhi-NCR,22,4,Good,Laptop/Desktop,2,1,8,5,0,3,Remain Constant,NO,Social Media,NO,YES
R841,Delhi-NCR,19,5,Average,Smartphone,6,1,6,0,0,3,Remain Constant,NO,Online surfing,YES,YES
R842,Delhi-NCR,22,3,Good,Smartphone,3,0,12,1,4,2,Remain Constant,NO,Online gaming,NO,NO
R843,Delhi-NCR,20,6,Very poor,Laptop/Desktop,4,1,6,3,0.5,3,Remain Constant,NO,Watching web series,YES,YES
R844,Delhi-NCR,36,4,Good,Laptop/Desktop,2,1,10,1,1,3,Increased,NO,Sleeping,YES,YES
R845,Delhi-NCR,23,4,Good,Laptop/Desktop,2,0.5,7,3,1,3,Remain Constant,NO,Talking,YES,YES
R846,Outside Delhi-NCR,32,2,Average,Laptop/Desktop,3,0,9,2,0.5,3,Increased,NO,Reading books,NO,YES
R847,Outside Delhi-NCR,24,2,Average,Smartphone,3,0.5,9,2,0,2,Remain Constant,NO,Sleeping,YES,YES
R848,Outside Delhi-NCR,20,5,Average,Laptop/Desktop,4,1,8,2,1,3,Remain Constant,NO,Listening to music,NO,YES
R849,Delhi-NCR,22,2,Excellent,Laptop/Desktop,3,1,8,2,1,3,Decreased,NO,Online surfing,YES,YES
R850,Delhi-NCR,20,5,Very poor,Laptop/Desktop,1,0,8,1,0.5,2,Remain Constant,NO,Listening to music,NO,YES
R851,Delhi-NCR,21,4,Very poor,Laptop/Desktop,2,0,10,2,0,3,Increased,NO,Listening to music,NO,NO
R852,Outside Delhi-NCR,38,4,Very poor,Laptop/Desktop,3,1,6,2,2,3,Remain Constant,NO,Sleeping,YES,YES
R853,Delhi-NCR,27,3,Good,Laptop/Desktop,2,1,8,2,0.5,4,Decreased,YES,Web Series,NO,NO
R854,Outside Delhi-NCR,20,2,Average,Laptop/Desktop,2,0,7,2,1,3,Increased,NO,Scrolling through social media,NO,YES
R855,Outside Delhi-NCR,21,2,Very poor,Laptop/Desktop,12,1,9,5,1,3,Increased,NO,Online gaming,YES,YES
R856,Delhi-NCR,20,8,Very poor,Laptop/Desktop,2,0,6,2,3,3,Decreased,NO,Listening to music,NO,YES
R857,Delhi-NCR,20,4,Average,Smartphone,1,0,6,10,2,1,Remain Constant,NO,Online surfing,NO,NO
R858,Delhi-NCR,22,5,Average,Smartphone,4,1,6,2,2,3,Increased,NO,Listening to music,YES,YES
R859,Delhi-NCR,21,3,Very poor,Laptop/Desktop,2,1,8,0.75,1,3,Remain Constant,NO,Listening to music,NO,NO
R860,Outside Delhi-NCR,21,3,Very poor,Laptop/Desktop,1,0,8,1,0,3,Increased,NO,Listening to music,NO,YES
R861,Delhi-NCR,21,4,Very poor,Smartphone,6,0,9,2,0,2,Remain Constant,NO,Listening to music,NO,YES
R862,Delhi-NCR,21,4,Very poor,Smartphone,1,1,7,2,0,4,Increased,NO,Scrolling through social media,YES,YES
R863,Delhi-NCR,21,4,Average,Smartphone,2,2,12,2,0,2,Decreased,NO,Online surfing,NO,YES
R864,Delhi-NCR,20,5,Average,Smartphone,5,1,6,2,1,3,Increased,NO,Listening to music,NO,YES
R865,Delhi-NCR,33,2,Very poor,Laptop/Desktop,1,1,7,1,0,3,Remain Constant,YES,Online surfing,NO,YES
R866,Delhi-NCR,20,4,Very poor,Smartphone,5,1,10,3,0,2,Remain Constant,NO,Listening to music,NO,NO
R867,Delhi-NCR,21,3,Average,Smartphone,2,2,7,1,3,2,Remain Constant,NO,Workout and listening music,YES,YES
R868,Delhi-NCR,20,6,Average,Laptop/Desktop,2,2,7,3,1,4,Decreased,NO,Meditation,YES,NO
R869,Delhi-NCR,37,2,Good,Laptop/Desktop,1,1,7,0.5,1,2,Remain Constant,NO,Listening to music,YES,YES
R870,Delhi-NCR,22,5,Average,Smartphone,3,0,8,3,0,3,Remain Constant,NO,Both listining music and scrolling down social media,NO,YES
R871,Outside Delhi-NCR,33,4,Average,Laptop/Desktop,1,0,7,1,0,4,Increased,NO,Cooking,YES,YES
R872,Outside Delhi-NCR,17,1,Very poor,Smartphone,2,0,7,2,1,3,Increased,YES,Dancing,NO,NO
R873,Outside Delhi-NCR,20,4,Average,Smartphone,5,1,7,0.5,0,3,Decreased,NO,Listening to music,YES,YES
R874,Delhi-NCR,19,2,Average,Laptop/Desktop,2,1,9,2,1,4,Remain Constant,NO,Listening to music,NO,NO
R875,Outside Delhi-NCR,20,4,Average,Smartphone,3,1,7,1,1,2,Increased,NO,Meditation,YES,YES
R876,Outside Delhi-NCR,21,3,Very poor,Smartphone,4,1,5,2,0,3,Remain Constant,NO,Sleeping,YES,YES
R877,Delhi-NCR,17,7,Very poor,Smartphone,2,1,6,3,1,3,Increased,NO,Watching web series,NO,YES
R878,Outside Delhi-NCR,20,3,Poor,Smartphone,2,0,7,3,1,2,Decreased,YES,Watching web series,NO,YES
R879,Outside Delhi-NCR,20,7,Very poor,Laptop/Desktop,4,0,7,2,1,3,Remain Constant,NO,Online gaming,YES,YES
R880,Outside Delhi-NCR,19,10,Average,Laptop/Desktop,3,1,5,1,0.5,4,Remain Constant,NO,Reading books,NO,NO
R881,Outside Delhi-NCR,21,5,Average,Laptop/Desktop,2,0,9,1,2,3,Remain Constant,NO,Listening to music,NO,NO
R882,Outside Delhi-NCR,20,8,Average,Laptop/Desktop,5,1,5,3,0.5,3,Remain Constant,NO,Listening to music,NO,YES
R883,Outside Delhi-NCR,36,5,Good,Laptop/Desktop,4,1,5,1,1,2,Remain Constant,NO,Reading,YES,YES
R884,Outside Delhi-NCR,20,4,Very poor,Smartphone,4,0,8,1,0,3,Remain Constant,NO,Meditation,NO,NO
R885,Outside Delhi-NCR,31,4,Good,Laptop/Desktop,3,2,9,2,0,2,Decreased,NO,Talking,YES,YES
R886,Delhi-NCR,22,6,Very poor,Laptop/Desktop,4,0,8,2,0.5,4,Increased,NO,Sleeping,NO,NO
R887,Delhi-NCR,22,5,Average,Smartphone,4,1,8,2,1,2,Decreased,NO,Listening to music,YES,YES
R888,Delhi-NCR,28,3,Good,Laptop/Desktop,2,1,8,4,1,3,Remain Constant,NO,Reading,YES,YES
R889,Outside Delhi-NCR,16,5,Very poor,Smartphone,1,0,10,3,0,2,Decreased,NO,Scrolling through social media,NO,NO
R890,Delhi-NCR,20,2,Average,Smartphone,3,0,12,7,1.5,4,Decreased,YES,Scrolling through social media,NO,NO
R891,Outside Delhi-NCR,21,2,Very poor,Smartphone,4,0,8,1,2,3,Increased,YES,Listening to music,NO,NO
R892,Delhi-NCR,19,4,Average,Laptop/Desktop,3,2,7,4,0,3,Decreased,NO,Online gaming,NO,YES
R893,Delhi-NCR,20,6,Average,Laptop/Desktop,2,1,8,2,1,3,Remain Constant,NO,Sleeping,YES,YES
R894,Outside Delhi-NCR,14,2,Good,Smartphone,2,1,8,3,1,3,Increased,NO,Sleeping,NO,YES
R895,Outside Delhi-NCR,26,1,Average,Smartphone,3,1,8,4,0,3,Decreased,YES,Watching web series,NO,YES
R896,Delhi-NCR,21,3,Very poor,Laptop/Desktop,2,0,8,6,5,4,Increased,NO,Listening to music,NO,YES
R897,Outside Delhi-NCR,34,1,Good,Smartphone,3,0.5,7,0,1,1,Remain Constant,NO,Listening to music,NO,NO
R898,Delhi-NCR,19,5,Very poor,Smartphone,2,0,6,3,0,1,Increased,NO,Online gaming,NO,YES
R899,Delhi-NCR,19,8,Very poor,Laptop/Desktop,2,1,6,2,0,3,Remain Constant,NO,Sleeping,NO,NO
R900,Outside Delhi-NCR,21,7,Good,Any Gadget,7,0,10,3,0,3,Remain Constant,NO,Sleeping,YES,YES
R901,Outside Delhi-NCR,23,4,Very poor,Laptop/Desktop,1,0,7,8,2,3,Decreased,NO,Online surfing,NO,YES
R902,Delhi-NCR,19,5,Very poor,Smartphone,2,0,7,3,0,3,Increased,NO,Scrolling through social media,YES,YES
R903,Delhi-NCR,27,1,Average,Laptop/Desktop,2,0,8,3,2,3,Increased,NO,Cooking,YES,YES
R904,Outside Delhi-NCR,33,3,Average,Smartphone,1,0,6,1,4,2,Decreased,YES,Sleeping,NO,YES
R905,Outside Delhi-NCR,21,5,Average,Smartphone,3,1,11,3,2,3,Remain Constant,NO,Cooking,NO,NO
R906,Outside Delhi-NCR,21,2,Very poor,Smartphone,3,0,8,4,1,3,Remain Constant,NO,Watching web series,NO,NO
R907,Outside Delhi-NCR,24,0,Very poor,Smartphone,1,0,5,4,6,3,Decreased,YES,Scrolling through social media,NO,YES
R908,Outside Delhi-NCR,23,0,Good,Laptop/Desktop,0,0,8,3,0,1,Remain Constant,NO,Social Media,NO,NO
R909,Delhi-NCR,20,5,Good,Laptop/Desktop,1,1,8,1,1,4,Decreased,NO,Listening to music,YES,YES
R910,Outside Delhi-NCR,29,10,Good,Laptop/Desktop,7,1,6,7,2,2,Remain Constant,NO,Web Series,YES,YES
R911,Outside Delhi-NCR,20,4,Average,Laptop/Desktop,1,1,10,5,0.3,3,Decreased,NO,Online surfing,YES,YES
R912,Delhi-NCR,21,1,Good,Smartphone,5,0,7,2,2,2,Remain Constant,NO,Dancing,NO,NO
R913,Outside Delhi-NCR,21,6,Average,Laptop/Desktop,2,1,8,5,2,2,Increased,NO,Reading books,NO,YES
R914,Delhi-NCR,19,7,Average,Laptop/Desktop,1,1,5,6,1,3,Remain Constant,NO,Dancing,NO,YES
